S0002,"ANUGRAH ARGON MEDICA, PT"
S0003,PBF AMS
S0004,PBF APL
S0006,"BINA SAN PRIMA, PT"
S0007,PBF Brataco
S0010,PBF Combi Putra
S0011,PBF Distriversa Buanamas
S0012,"DOS NI ROHA, PT"
S0014,"ENSEVAL PUTERA MEGATRADING, PT"
S0015,PBF Great Mataram
S0016,PBF Indofarma Global
S0018,PBF Kalista
S0019,"KEBAYORAN PHARMA, PT"
S0020,PBF Kimia Farma
S0021,"MENSA BINASUKSES, PT"
S0022,PBF Merapi
S0023,PBF MPI
S0024,PBF Parit Padang
S0026,PBF Rajawali
S0027,PBF Tempo
S0028,PBF Tri Sapta Jaya
S0030,PBF United Dico
S0032,PBF Penta Valent
S0033,Toko Agung
S0100,INTI TERAFARMA INDONESIA
S0101,SAPTA SARI TAMA
S0102,"BRAMADA PARMASARI, PT"
S0103,"SUMBER BERKAH FARMASI, PT"
S0104,"MULIA ANUGGRAH PERDANA, PT"
S0105,"MARGA NUSANTARA JAYA, PT"
S0106,JAVAS TRIPTA GEMALA
S0107,"MASAMEDI INTIFARMINDO, PT"
S0108,"SURYA PRIMA PERKASA, PT"
S0109,BOROBUDUR
S0110,"DADI MAJU, CV"
S0111,"SUKSES SANTOSO MANDIRI, CV"
S0112,"SEHAT BERSAMA SEJAHTERA, PT"
S0114,GUDANG MADU
S0115,BU MELLY
S0116,"KINARYA PUTRA PERKASA, PT"
S0117,"DAYA MUDA AGUNG , PT"
S0118,"INTISUMBER HASILSEMPURNA, PT"
S0119,"MITRA UTAMA ALKESMED, PT"
S0120,ALAT KESEHATAN DAN LABORATORIUM
S0121,"DAYA PRIMA, CV"
S0122,"DUTALESTARI SENTRATAMA, PT"
S0123,GSM
S0124,"PERMATA DELTA AGUNG, PT"
S0125,"MITRA UTAMA ALKESINDO, CV"
S0126,"HERBAL JAYA INDONESIA, CV"
S0127,APOTEK
S0128,TAWON CANGAR
S0130,TOKO LUWES
S0132,FADIA MARKET
S0133,HERBA MOSLEM
S0134,"TJAHYONO ABADI, CV"
S0135,AIR BIO COSMINERGY
S0137,TOKO INTI
S0138,KLANCENG ALAS
S0139,SEJAHTERA ABADI. CV
S0140,IMMORTAL COSMEDIKA INDONESIA
S0141,"DWI JAYA MEDIKA, CV"
S0142,WAHYU JAYA PATI
S0143,"SUPRALITA MANDIRI, PT"
S0144,TARUNAKUSUMA PURINUSA
S0145,THONG PERKASA JAYASENTOSA
S0146,SINAR NIAGA SEJAHTERA
S0148,HARI JAYA TOKO
S0149,VERMINDO UTAMA
S0150,"MULTI KIMIA RAYA NUSANTARA, PT"
S0151,ELISABETH PARFUM
S0152,SHINSHE
S0153,APOTEK PERMATA
S0154,"ANEKA USAHA, PT"
S0155,"KRIDHA MULTI NIAGA PRIMA PATI, PT"
S0156,ULTRAJAYA MILK
S0157,MADU SUPER SENTOSA
S0158,"MEGAH GENTASWARA, PT"
S0159,TOKO ADA
S0161,SMS JAKARTA
S0162,"LESSENTIAL, PT"
S0163,TOTAL
S0164,YAKULT
S0165,AGYA SYIFA HERBAL
S0166,TOKO PASIFIK
S0167,NATURAL NUTRINDO PT.
S0168,GARCIA
S0169,"MITRA SEHATI SEKATA, PT"
S0170,"TIARA KENCANA , PT"
S0172,"SEJATI , CV"
S0173,ANUGERAH ABI FARMA PT.
S0174,FAJAR MULIA ABADI PT.
S0176,LOVE HARYONO
S0177,MADU NUSANTARA
S0178,CV. SANTOSO
S0180,KHARISMA SINAR ABADI
S0181,CNI
S0182,KACANG JAMBU
S0183,"SEHAT SENTOSA MEDIKA , CV"
S0184,"PUTRA JOHAN MANDIRI , PT"
S0185,TOKO JAYA SETIA
S0186,"EKA BIMA PERKASA , PT"
S0187,MNH JAYA PT.
S0188,"DWI ABADI FARMA , PT"
S0189,"RADIANT SENTRAL NUTRINDO , PT"
S0190,CV. MEGA ANUGRAH
S0191,SAMPHARINDO
S0192,MDS
S0193,ARTA BOGA CEMERLANG PT
S0195,CV SAPUTRO ABADI KUDUS
S0196,KK INDONESIA
S0197,APOTEK VIKA
S0198,LIDIA BONBON
S0199,IBU SRI PRODUKSI JAMU
S0200,PT.  BHARADAH SAKTI
S0201,SARI ROTI
S0202,SUPRAYANA NUTRISINDO PT
S0203,"KALIKA MEGA PERSADA, PT"
S0204,PINUS MERAH ABADI PT
S0205,AIR MINUM AMIDIS
S0206,MITRA SEHATI
S0207,INDOMARCO ADI PRIMA PT
S0208,"SARI ROTI, PT"
S0209,RS MITRA BANGSA
S0210,PT DODO
S0212,SINARMAS DISTRIBUSI NUSANTARA PT
S0213,CV. ALAM ASRI ABADI
S0214,GOLDEN SEJAHTERA
S0215,HERBAL BANG CHOY
S0216,PT TRI USAHA JAYA
S0219,PT. MAGO SEHAT KHASANAH
S0220,"DHAINAKO PUTRA SEJATI,PT"
S0221,PAS MEDIKA ALKESINDO
S0222,HERBALIFE NUTRITION
S0223,PT INDOKARYA MEDIKA UTAMA
S0225,"KRIDHA MANDIRI PUTRA, CV"
S0226,HTT HERBAL TOKCER TUBAN
S0227,PT.SUMBER ENERGY
S0229,CV SRI YULIATI
S0230,MADU AM UD BARU
S0231,PT USAHA JAYA MAKMUR SENTOSA
S0232,MSTORE PATI
S0234,PAS PATI ADI SUARA FM
S0235,CV. ELIZABETH PARFUMINDO
S0238,IMAGO SEHAT KHASANAH
S0239,PT. VICTORIA CARE INDONESIA
S0241,PT. SAKAJAJA MAKMUR ABADI
S0243,LAMCOS ABADI JAYA PT
S0244,CV. WAHYU JAYA
S0248,QUEEN TOP BAKERY
S0249,CV. BUANA PERKASA
S0250,CV. VIS
S0251,FF JAYA
S0252,MURNI UTAMA PATI PT
S0253,MAMA MIA
S0254,TELUR OMEGA
S0255,PERMATA KOSMETIK KUDUS
S0256,PT. SCI
S0257,INSPIRASI MEDIA KREATIF
