kdbarang,namabarang,idjenis,idgolongan,kdkategori,satuan,hna,hargaresep,hargadiskon,hargahv,idsupplier,
000003,ADJUSTABLE LANCING DEVICE GC,SG082,G0002,K0001,PCS,15000,0,0,18500,S0020,
000004,SUN HOPE MEGA FORMULA,SG082,G0005,K0001,BOTOL,382500,0,0,427000,S0020,
000005,AUTOCLICK LANCING DEVICE ONE MED,SG082,G0002,K0001,PCS,23500,0,0,27212,S0020,
000006,ALAT BANTU DENGAR AXVA EX 13B ***,SG100,G0006,K0001,PCS,200000,0,0,250000,S0161,
000007,ALAT BANTU DENGAR AXVA OM 188 ***,SG100,G0006,K0001,PCS,225000,0,0,275000,S0161,
000008,ALAT GLUCO DR + STRIP,SG100,G0002,K0001,PCS,81818,0,0,240000,S0119,
000009,METHYLPREDNISOLON 4 MG DEXA,SG082,G0001,K0001,TABLET,180,600,350,400,S0020,
000010,NEYNNA PIL KB,SG050,G0001,K0001,STRIP,80000,106600,0,90000,S0261,
000011,ALKOHOL SWAB ONE MED,SG082,G0002,K0001,PCS,12500,0,0,15138,S0020,
000012,ARM SLING WELDACO SIZE S,SG100,G0002,K0001,PCS,17500,0,0,25000,S0020,
000013,ARTERI KLEM PLAIN LURUS,SG082,G0002,K0001,PCS,18000,0,0,23198,S0020,
000014,BANTAL PANAS KOTAK ***,SG082,G0006,K0001,PCS,60000,0,0,70000,S0123,
000015,BED GYNEACOLOG + TANGGA MORICO,SG082,G0002,K0001,PCS,3200000,0,0,3528800,S0020,
000016,BED PERIKSA + TANGGA MORICO,SG082,G0002,K0001,PCS,1785000,0,0,1966065,S0020,
000017,BIDAN KIT RENZ,SG082,G0002,K0001,PCS,650000,0,0,905850,S0020,
000018,VESTEIN 300 MG,SG082,G0001,K0001,KAPSUL,6050,8100,0,7100,S0014,
000019,BISTURI NO 11,SG082,G0002,K0001,PCS,3000,5027,0,4100,S0119,
000020,BLOOD LANCET GEA 100 ***,SG082,G0006,K0001,PCS,11000,0,0,13000,S0123,
000021,"BRANCARD LAPANGAN, JOK TERPAL",SG082,G0002,K0001,PCS,825000,0,0,1107425,S0020,
000022,"BRANCARD LAPANGAN, JOK TERPAL, BERODA MO",SG082,G0002,K0001,PCS,937500,0,0,1258438,S0020,
000023,BALON TENSI,SG082,G0002,K0001,PCS,22501,0,0,30203,S0020,
000024,CATGUT CHROMIC 3/0 ONEMED,SG082,G0002,K0001,PCS,7083,10000,0,9500,S0119,
000025,CATGUT PLAIN 3/0 ONEMED,SG100,G0002,K0001,PCS,7083,9660,7600,8000,S0119,
000026,CATGUT PLAIN 2/0 ONEMED ***,SG100,G0006,K0001,PCS,4125,0,0,9500,S0123,
000027,LP 905 CERVICALL COLLAR KAKU XL,SG082,G0002,K0001,PCS,199900,0,0,200000,S0020,
000028,CIRUMENHAK,SG082,G0002,K0001,PCS,15000,0,0,15135,S0020,
000029,TESSA TISSU FACIAL REF 260,SG082,G0005,K0001,PCS,12530,0,0,16113,S0020,
000030,COM TUTUP RAPAT,SG082,G0002,K0001,PCS,27500,0,0,40248,S0020,
000031,COMMODE BIASA MORICO,SG082,G0002,K0001,PCS,390000,0,0,623510,S0020,
000032,COMMODE JONGKOK MORICO,SG082,G0002,K0001,PCS,288000,0,0,362592,S0020,
000033,CONDOM CHATETER INUSKO,SG082,G0002,K0001,PCS,2250,0,0,4020,S0020,
000034,LP 703 WRIST SUPPORT S,SG082,G0002,K0001,PCS,114900,0,0,105000,S0158,
000035,DEKER SIKU(ELBOW),SG082,G0002,K0001,PCS,65000,0,0,90585,S0020,
000036,BIO JANA,SG082,G0005,K0001,PCS,60000,0,0,70540,S0020,
000037,DECUBITUS KASUR APEX,SG100,G0002,K0001,PCS,850000,0,0,958000,S0119,
000039,ETHYLCHORET,SG082,G0002,K0001,PCS,140125,0,0,200000,S0020,
000040,F CATH RUSH NO 14,SG100,G0002,K0001,PCS,16500,22000,0,20000,S0119,
000041,MUPIROCIN OINT 10 GR,SG082,G0001,K0001,TUBE,30000,40000,0,34000,S0003,
000043,PAMOL 250 MG SUPPO,SG082,G0001,K0001,PCS,22500,30000,0,26500,S0014,
000044,FRESHCARE TEENS FRESHOLDER BG,SG082,G0003,K0001,PCS,15400,0,0,18139,S0020,
000045,GELAS UKUR PIREX 100 ML,SG082,G0002,K0001,PCS,65000,0,0,88585,S0020,
000046,GELAS UKUR PIREX 50 ML,SG082,G0002,K0001,PCS,50000,0,0,82950,S0020,
000047,FRESHCARE TEENS FRESHOLDER PF,SG082,G0003,K0001,PCS,14110,0,0,18127,S0020,
000048,GUNTING EPIC ***,SG100,G0002,K0001,PCS,20000,0,0,25000,S0123,
000049,GUNTING OPERASI B TJ/TJ ST 14 CM ***,SG082,G0002,K0001,PCS,20000,0,0,25000,S0123,
000050,FRESHCARE TEENS FRESHOLDER HC,SG082,G0003,K0001,PCS,14110,0,0,18127,S0020,
000051,GUNTING OPERASI B TP/TP ST 14 CM ***,SG100,G0006,K0001,PCS,17000,0,0,25200,S0123,
000052,GUNTING OPERASI L TJ/TJ ST 14 CM ***,SG100,G0006,K0001,PCS,18000,0,0,25000,S0123,
000053,GUNTING OPERASI L TJ/TP ST 14 CM ***,SG082,G0002,K0001,PCS,17000,0,0,25500,S0123,
000054,GUNTING OPERASI L TP/TP ST 14 CM ***,SG082,G0002,K0001,PCS,20000,0,0,25200,S0123,
000055,FRESHCARE TEENS BUBLE GUM,SG082,G0003,K0001,PCS,13143,0,0,10118,S0020,
000056,GUNTING PERBAN,SG082,G0002,K0001,PCS,19000,0,0,25000,S0121,
000057,GUNTING S/S BENGKOK,SG082,G0002,K0001,PCS,10000,0,0,18090,S0020,
000058,GUNTING AFF JAHIT ***,SG100,G0002,K0001,PCS,20000,0,0,25000,S0123,
000059,GUNTING TAJ LURUS,SG082,G0002,K0001,PCS,15000,0,0,20135,S0020,
000060,GUNTING TALI PUSAR 14CM ***,SG082,G0002,K0001,PCS,15000,0,0,20000,S0123,
000061,HYPAFIX 10X5,SG100,G0002,K0001,PCS,164835,0,0,171000,S0203,
000062,HYPAFIX 5X1,SG100,G0002,K0001,PCS,18200,23000,0,21000,S0125,
000063,HYPAFIX 5X5,SG100,G0002,K0001,PCS,76100,88000,0,84000,S0119,
000064,INFUSET OUT DEWASA ONEMED,SG082,G0002,K0001,PCS,3250,6536,0,5000,S0119,
000065,INSTRUMEN BAK KECIL ***,SG100,G0006,K0001,PCS,48000,0,0,56000,S0123,
000066,INSTRUMENT BAK TANGGUNG ***,SG100,G0006,K0001,SET,71500,0,0,84000,S0123,
000067,INSTRUMENT BAK BESAR***,SG100,G0006,K0001,PCS,100000,0,0,135000,S0123,
000068,ISHIHARA TEST,SG082,G0002,K0001,PCS,50000,0,0,60000,S0120,
000070,NEEDLE 23G BD,SG100,G0002,K0001,PCS,445,600,520,600,S0119,
000071,MANGKOK + TUTUP 12 CM,SG082,G0002,K0001,PCS,42500,0,0,50500,S0020,
000072,JARUM JAHIT SUTURA,SG082,G0002,K0001,PCS,1750,0,0,2516,S0020,
000073,JUBAH OK BIRU,SG082,G0002,K0001,PCS,75000,0,0,90675,S0020,
000074,JUBAH OK HIJAU,SG082,G0002,K0001,PCS,75000,0,0,90675,S0020,
000075,GLY DERM 125 ML,SG082,G0001,K0001,PCS,120000,145080,0,131080,S0020,
000076,DECUBITUS NESCO,SG082,G0002,K0001,PCS,780000,0,0,957020,S0020,
000077,OPPO KNEE SUPPORT 1022,SG082,G0002,K0001,PCS,95200,0,0,166857,S0121,
000078,LP 951 KNEE SUPORT S,SG082,G0002,K0001,PCS,109900,0,0,100000,S0158,
000079,FRESHCARE TEENS PASSION FRUIT,SG082,G0003,K0001,PCS,7893,0,0,9071,S0020,
000080,1/2 KOCHER  L,SG082,G0002,K0001,PCS,12000,0,0,17108,S0020,
000081,KOCHER L 14 CM ST,SG082,G0002,K0001,PCS,20000,0,0,20180,S0020,
000082,TEMPAT KORENTANG,SG082,G0002,K0001,PCS,45000,0,0,60495,S0020,
000083,KOTAK P3K BESAR MASPION (MC-11) ***,SG082,G0006,K0001,PCS,123000,0,0,142000,S0166,
000084,KOTAK P3K KECIL MASPION ***,SG082,G0006,K0001,PCS,58333.33,0,0,70000,S0166,
000086,KOTAK P3K SEDANG MASPION (MK-11) ***,SG082,G0006,K0001,PCS,78000,0,0,95000,S0166,
000087,KURSI RODA BAB IBS,SG082,G0002,K0001,PCS,1400000,0,0,1637600,S0020,
000089,KURSI RODA GEA BIASA,SG100,G0002,K0001,PCS,950000,0,1100000,1125000,S0121,
000090,LAMPU BACA X-RAY DOUBLE MORICO,SG082,G0002,K0001,PCS,1200000,0,0,1310800,S0020,
000091,LAMPU BACA X-RAY SINGLE MORICO,SG082,G0002,K0001,PCS,667500,0,0,906008,S0020,
000092,LAMPU INFRA RED PHILIPS,SG082,G0002,K0001,PCS,800000,0,0,907200,S0020,
000093,LUP BESAR,SG082,G0002,K0001,PCS,15000,0,0,20135,S0020,
000094,LUP KECIL,SG082,G0002,K0001,PCS,30000,0,0,37770,S0020,
000095,MANGKOK + TUTUP 13 CM,SG082,G0002,K0001,PCS,35000,0,0,45315,S0020,
000096,MANSET DEWASA,SG082,G0002,K0001,PCS,35000,0,0,45315,S0020,
000097,FRESHCARE TEENS HAPPY CHERY,SG082,G0003,K0001,PCS,8200,0,0,9074,S0020,
000098,MOUNTEA SPARKLING,SG082,G0005,K0001,PCS,3813,0,0,4534,S0020,
000099,MANI SEME,SG082,G0002,K0001,PCS,8333,12575,0,11075,S0020,
000100,MANI SETH,SG082,G0002,K0001,PCS,8333,0,0,11075,S0020,
000102,SOFTEX PANTYLINER 50,SG082,G0005,K0001,PCS,11015,0,0,12099,S0020,
