SG002,Analgetik dan / antipiretik
SG004,"Antasida, Antiulkus, obat lain gangguan pencernaan"
SG006,Anti Alergi
SG011,Anti Diabet
SG013,Anti Emetik
SG015,Anti Epilepsi
SG017,Anti Fungi Topikal
SG019,Anti Hiperlipidemi
SG020,Anti Hipertensi
SG021,Anti Hipotensi
SG031,Anti Radang Topikal
SG036,Antibiotik Sistemik
SG040,"Antitusiv, Ekspektoran, Mukolitik & Antiinfluenza"
SG050,Hormon Sex & Obat Infertilitas
SG055,Obat Lain - Lain
SG057,Obat Mata
SG063,Relaksan Otot
SG065,"Transkulizer, Hipnotik & Sedatif"
SG070,Vitamin dan Mineral
SG082,LAIN-LAIN
SG090,ANTI INFLAMASI NON STEROID
SG091,ANTIBIOTIKA MAKROLID
SG100,ALKES
SG005,Anthelmintik
SG009,Anti Asma
SG032,"Anti Rematik, Antiinflamasi Analgesik"
SG033,Anti Spasmodik
SG035,Anti Viral
SG044,Decongestan Hidung
SG058,Obat Mulut & Gigi
SG074,ANTI ANGINA
SG087,SUPLEMEN DAN TERAPI PENUNJANG
SG010,Anti Depresan
SG025,Anti Infeksi Topikal dengan Kortikosteroid
SG052,Laksatif
SG060,Obat Topikal Lain
SG064,Sediaan untuk Vagina
SG077,SUSU BAYI
SG083,OBAT FLU
SG084,OBAT SALURAN CERNA
SG023,Anti Infeksi Telinga
SG026,Anti Infeksi Urogenital
SG037,Antiseptik Desinfektan
SG039,"Antiseptik,Desinfektan"
SG101,OBAT MUAL/MUNTAH
SG086,SEDIAAN KLINIK KULIT
SG007,Anti AMUBA
SG012,Anti Diare
SG016,Anti Fungi
SG069,Vasokontriktor
SG079,"ANTICOAGULANT, ANTITHROMBOTICS, FIBRINOLYTICS"
SG049,Hormon Kortikosteroid
SG014,Anti Encok
SG018,Anti Hemorroid & Antivarikosis
SG028,Anti Migrain
SG051,Obat lain-lain
SG008,Anti Anemia
SG030,Anti Pruritus & Anti Histamin Topikal
SG046,Diuretik
SG071,OBAT FARMASI
SG075,ANTI PLATELET
SG089,ANTI VERTIGO
